artillery,артиллерия
capricious,капризный
decline,"снижать, отменять"
tangible,материальное
photosynthesis,фотосинтез
cumbersome,громоздкий
net,чистая
adversely,неблагоприятно
inhibit,"подавить, запретить"
commodity,товар
mobilize,мобилизировать
battle,бой
hierarchy,иерархия
rank,звание
obtain,получить
precipitation,осадки
inflation,инфляция
regulate,регулировать
strategic,стратегическое
abandon,"бросать, сдаваться"
aggregate,"совокупный, общий"
fertilize,удобрение
vanity,тщеславие
vulnerable,уязвимый
allegiance,лояльность
in the trenches,в окопах
intensify,"усилить, усиливать"
minimum,минимум
striking,"поразительный, заметный"
cease,прекращение
ratio,соотношение
subsidy,субсидия
exotic,экзотический
allocate,распределять
equity,капитал
irrigation,"полив, орошение"
bulk,"тяжелый вид, навалом, масса"
trend,тенденция
per capita,на душу населения
cultivation,выращивание
