bulk,масса
cast,в ролях
charismatic,харизматичный
capricious,капризный
cumbersome,громоздкий
exotic,экзотичный
to inhibit,препятствовать
a minimum,минимум
striking,поразительный
a trend,тренд
vanity,тщеславие
vulnerable,ранимый
amateurish,дилетантский
gala,праздничный
hilarious,веселый
incompetent,некомпетентный
a medium,средний
a skit,пародия
zeal,усердие; рвение
advent,пришествие
ambiguous,двусмысленный; неопределенный
a connotation,то что подразумевается; созначение
to decipher,расшифровать
to denote,обозначать
illiterate,неграмотный
ingenious,гениальный
an inscription,надпись
phonetic,фонетический
symbolic,символический
abstract,абстрактный
a context,ситуация; обстановка
to depict,изображать
a dimension,"измерение; размерность"
esthetically,эстетически
intrinsic,внутренний; присущий
a perspective,перспектива
a portrayal,изображение
realism,реализм
a spectrum,спектр
